factor,date,rank_ic,samples,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,horizon,top_bottom
momentum_20d,2016-03-04,-0.163315,80,0.017674,0.011351,-0.003075,-0.000861,0.00228,0.001384,0.009304,-0.004366,-0.001038,0.002666,1,-0.015008
momentum_20d,2016-03-07,0.052157,80,0.018916,0.013458,0.019942,0.014838,0.012253,0.024284,0.029135,0.020611,0.009,0.020418,1,0.001502
momentum_20d,2016-03-08,-0.176864,80,-0.002687,-8.1e-05,-0.003795,-0.016463,0.000185,-0.01258,-0.014687,-0.004802,-0.013623,-0.012522,1,-0.009835
momentum_20d,2016-03-09,-0.229606,80,0.022343,0.02961,0.016927,0.031308,0.033049,0.023893,0.022882,0.010308,0.008278,0.02356,1,0.001217
momentum_20d,2016-03-10,-0.095734,80,0.029748,0.03883,0.032628,0.029835,0.030546,0.031179,0.032622,0.033319,0.038661,0.020105,1,-0.009643
momentum_20d,2016-03-11,-0.123722,80,0.019584,0.009296,0.021704,0.02149,0.011848,0.014235,0.011721,0.007716,0.012282,0.010481,1,-0.009103
momentum_20d,2016-03-14,0.060642,80,0.002763,0.003212,-0.004534,0.009249,0.011461,-0.006063,-0.003662,0.000202,0.004883,0.012526,1,0.009763
momentum_20d,2016-03-15,-0.251242,80,0.001846,0.000215,0.001076,-0.002372,-0.002065,-0.000227,-0.006339,-0.016314,-0.010714,-0.004394,1,-0.00624
momentum_20d,2016-03-16,-0.072668,80,0.006615,0.014232,0.010928,0.000911,0.0121,0.005402,0.013843,0.004645,0.003168,0.005706,1,-0.000909
momentum_20d,2016-03-17,0.061416,80,-0.004096,-0.007694,0.001402,-0.010051,-0.008734,0.00189,-0.00228,-0.011421,-0.003842,0.000849,1,0.004944
momentum_20d,2016-03-18,-0.315049,80,0.013732,0.01,0.007141,0.003403,-0.002727,-0.006426,-0.004454,0.004658,-0.012187,-0.003105,1,-0.016837
momentum_20d,2016-03-21,-0.069034,80,-0.015911,0.010074,-0.008833,0.004046,0.008306,-0.000964,0.001502,-0.012739,-0.004416,-0.007127,1,0.008784
momentum_20d,2016-03-22,-0.072644,80,0.018547,-0.000449,0.005105,0.004316,0.000935,0.005456,-0.005849,0.016095,0.007508,-0.002962,1,-0.02151
momentum_20d,2016-03-23,-0.06601,80,0.009445,0.006927,0.009156,0.017472,0.009133,0.013369,0.008655,0.007554,0.009654,0.006381,1,-0.003064
momentum_20d,2016-03-24,-0.038233,80,0.009062,-0.008505,-0.009216,0.001977,-0.008661,-0.007251,0.002688,-0.004012,-0.014293,0.000278,1,-0.008784
momentum_20d,2016-03-25,-0.001477,80,-0.005749,-0.027616,-0.001241,-0.004926,-0.010178,-0.010274,-0.01576,-0.011321,-0.012056,-0.006582,1,-0.000834
momentum_20d,2016-03-28,-0.142077,80,0.003887,-0.010378,0.003045,-0.013832,-0.011059,-0.008578,-0.007915,-0.009482,-0.016856,-0.003994,1,-0.007881
momentum_20d,2016-03-29,0.007853,80,-0.001751,-0.013902,-0.014169,-0.016445,0.00103,-0.015194,-0.002366,-0.009858,-0.011553,-0.007258,1,-0.005506
momentum_20d,2016-03-30,-0.047328,80,-0.018224,-0.004442,-0.008706,-0.019243,-0.004914,-0.016043,0.005034,-0.012885,-0.019465,-0.018922,1,-0.000698
momentum_20d,2016-03-31,-0.155438,80,-0.006235,-0.000386,-0.006899,-0.006198,-0.004942,-0.007013,-0.011114,-0.014322,-0.012919,-0.008945,1,-0.00271
momentum_20d,2016-04-01,-0.010431,80,0.012647,0.013506,6.4e-05,0.014918,0.003488,0.01464,0.014604,0.011243,0.006259,0.007526,1,-0.005121
momentum_20d,2016-04-04,-0.082958,80,0.001346,-0.012304,-0.006475,-0.000941,0.006845,-0.001504,0.001271,-0.008663,-0.009774,-0.011438,1,-0.012784
momentum_20d,2016-04-05,-0.11819,80,0.012979,0.005265,0.006814,-0.007269,-0.001944,0.005725,0.002445,0.00151,-0.000661,0.005626,1,-0.007353
momentum_20d,2016-04-06,0.092335,80,-0.016657,-0.004304,-0.020641,-0.014736,-0.012295,-0.007911,-0.012958,-0.002882,-0.014691,-0.014405,1,0.002252
momentum_20d,2016-04-07,-0.10654,80,0.012427,-0.005434,0.000198,-0.00453,0.009275,0.001439,-0.007492,0.002656,-0.004089,0.004645,1,-0.007782
momentum_20d,2016-04-08,-0.045992,80,-0.016162,-0.01091,-0.023742,-0.019695,-0.00222,-0.013343,-0.025669,-0.012847,-0.020008,-0.017486,1,-0.001324
momentum_20d,2016-04-11,0.034998,80,-0.005987,-0.011127,-0.011704,-0.003614,-0.008572,0.001445,-0.006129,0.003263,-0.010917,-0.006644,1,-0.000657
momentum_20d,2016-04-12,-0.082865,80,0.023019,0.025153,0.027719,0.02062,0.018623,0.014965,0.017098,0.015741,0.008977,0.028006,1,0.004987
momentum_20d,2016-04-13,-0.092264,80,0.006325,0.005827,-0.0066,-0.002381,-0.002089,-0.008007,-0.000411,-0.006074,-0.013082,0.004156,1,-0.002169
momentum_20d,2016-04-14,0.071824,80,0.019845,0.009859,0.012838,0.007716,0.007478,0.014888,0.017825,0.009974,0.014282,0.009742,1,-0.010103
momentum_20d,2016-04-15,0.024215,80,0.00258,-0.001274,0.0008,0.008188,0.014805,-0.002333,0.004125,-0.001868,0.004144,0.004406,1,0.001826
momentum_20d,2016-04-18,-0.105391,80,-0.00135,0.005004,-0.008732,-0.001932,-0.002417,0.004889,-0.006026,-0.005361,0.002734,-0.010388,1,-0.009038
momentum_20d,2016-04-19,0.074824,80,-0.003816,-0.002432,-0.003941,-0.009373,-0.004236,-0.006719,-0.006242,-0.011798,-0.001042,0.006165,1,0.009981
momentum_20d,2016-04-20,-0.213432,80,0.021068,0.009491,0.017046,0.01218,0.006393,0.016013,0.008334,0.008561,0.005393,0.003856,1,-0.017212
momentum_20d,2016-04-21,0.050141,80,0.007675,0.005035,0.004379,-0.011209,0.002281,0.002506,-0.011817,-0.008526,0.014113,0.004014,1,-0.003661
momentum_20d,2016-04-22,0.025035,80,0.017315,0.015144,0.00714,0.021109,0.003069,0.022534,0.021629,0.014715,0.006348,0.016156,1,-0.00116
momentum_20d,2016-04-25,-0.114721,80,-0.000294,0.000313,-0.011437,-0.003697,-0.005531,-0.021373,-0.006857,0.000649,-0.006246,-0.015551,1,-0.015257
momentum_20d,2016-04-26,-0.030239,80,0.010207,-0.005385,-0.006916,0.004116,-0.001472,0.000261,0.004475,0.013717,0.000475,-0.010204,1,-0.020411
momentum_20d,2016-04-27,-0.141772,80,0.00651,0.00064,0.002862,0.010287,-0.001961,0.006856,0.001221,0.009884,0.001991,-0.008355,1,-0.014865
momentum_20d,2016-04-28,-0.00518,80,-0.00269,0.001918,0.014521,0.000678,0.0039,0.002991,0.002886,0.003116,0.004018,0.002885,1,0.005575
momentum_20d,2016-04-29,-0.176067,80,-0.003626,0.003429,-0.020487,-0.015781,-0.007735,-0.018767,-0.008646,-0.009671,-0.017025,-0.013819,1,-0.010193
momentum_20d,2016-05-02,-0.014112,80,0.001181,-0.004763,-0.007695,-0.001816,-0.005902,-0.000523,-0.002384,-0.007332,0.001425,-0.007861,1,-0.009042
momentum_20d,2016-05-03,0.020792,80,0.002583,-0.006768,-0.007024,-0.004984,-0.007289,-0.00826,0.004882,-0.006512,-0.002688,0.003114,1,0.000531
momentum_20d,2016-05-04,-0.105251,80,0.001839,-0.003222,-0.012738,-0.010114,-0.00576,0.003944,-0.003544,-0.008339,-0.012299,-0.010241,1,-0.01208
momentum_20d,2016-05-05,-0.138819,80,0.013708,0.012879,0.007365,0.001595,0.005138,-0.00437,0.012844,0.001947,0.009247,-0.001645,1,-0.015353
momentum_20d,2016-05-06,-0.051617,80,0.010023,0.008598,-0.007199,0.001171,0.00707,0.006433,-0.000809,0.006455,0.008879,0.000938,1,-0.009085
momentum_20d,2016-05-09,-0.083755,80,-0.006608,-0.020834,-0.017338,-0.014957,-0.012925,-0.0175,-0.020482,-0.01492,-0.011775,-0.029585,1,-0.022976
momentum_20d,2016-05-10,-0.030895,80,-0.000959,-0.021711,-0.018016,-0.022355,-0.018346,-0.006701,-0.014821,-0.016687,-0.019937,-0.018324,1,-0.017365
momentum_20d,2016-05-11,-0.204477,80,-0.01147,-0.010114,-0.009654,-0.005001,-0.003407,-0.021933,-0.019007,-0.020085,-0.008703,-0.027744,1,-0.016274
momentum_20d,2016-05-12,-0.137857,80,0.005121,0.008152,-0.005208,0.02062,-0.004992,0.015631,0.00124,-0.008311,0.004294,-0.001937,1,-0.007057
momentum_20d,2016-05-13,-0.20872,80,0.030777,0.024745,0.015487,0.020848,0.015461,0.009867,0.021354,0.021103,0.004906,0.014742,1,-0.016035
momentum_20d,2016-05-16,0.142921,80,-0.004898,0.011586,-0.007119,0.005362,-0.008444,0.002584,0.003407,0.008901,0.003189,-0.000174,1,0.004724
momentum_20d,2016-05-17,-0.020956,80,0.004651,-0.001063,-0.003958,-0.000366,0.009253,0.002243,0.003187,-0.000943,0.007494,-0.004406,1,-0.009058
momentum_20d,2016-05-18,-0.071355,80,-0.007553,-0.012184,-0.012401,-0.005197,-0.005685,0.001622,-0.009128,-0.009778,-0.009304,-0.016797,1,-0.009244
momentum_20d,2016-05-19,-0.079911,80,0.002877,-0.009591,-0.008884,-0.00124,-0.016688,-0.012359,-0.003721,-0.002599,-0.016166,-0.007154,1,-0.010031
momentum_20d,2016-05-20,-0.07248,80,-0.017326,-0.025885,-0.016892,-0.027385,-0.021109,-0.010868,-0.01781,-0.022311,-0.017705,-0.033204,1,-0.015878
momentum_20d,2016-05-23,-0.267534,80,0.009732,0.007102,0.006267,0.015407,-0.002638,0.009701,-0.010884,-0.003759,-0.00058,-0.001975,1,-0.011708
momentum_20d,2016-05-24,-0.019269,80,0.012351,0.010098,0.010366,0.002696,0.009243,0.002453,-0.000155,0.010549,0.010973,0.014211,1,0.00186
momentum_20d,2016-05-25,-0.191772,80,-0.005561,0.00319,0.002954,0.006316,-0.005358,-0.003681,-0.003246,-0.009466,0.002285,-0.01173,1,-0.006169
momentum_20d,2016-05-26,0.027661,80,0.010413,0.010293,0.014515,0.014955,0.001439,0.005441,0.015828,0.010192,0.01162,0.012483,1,0.002071
momentum_20d,2016-05-27,-0.196648,80,0.002221,0.018324,0.00892,-0.002967,-0.003544,0.005653,-0.011702,0.001641,0.003834,-0.004588,1,-0.006809
momentum_20d,2016-05-30,-0.037881,80,0.005,0.000458,0.002165,0.0015,-0.002415,-0.007426,0.005379,0.001161,-0.005261,0.004593,1,-0.000408
momentum_20d,2016-05-31,-0.343671,80,0.012284,0.012843,0.013406,0.005553,-0.001697,-0.004278,0.00594,-0.000998,0.002601,-0.009996,1,-0.02228
momentum_20d,2016-06-01,0.00218,80,0.019879,-0.006743,0.00044,0.007158,0.014299,0.008314,0.000915,0.008257,0.004447,0.007028,1,-0.012851
momentum_20d,2016-06-02,-0.184669,80,0.019833,0.006556,0.017884,0.00637,0.002006,0.019056,0.001556,-0.003159,0.011407,0.004586,1,-0.015247
momentum_20d,2016-06-03,-0.277895,80,0.003147,0.004173,-0.008374,-0.004041,-0.010985,-0.014402,-0.011428,-0.017763,-0.011646,-0.010353,1,-0.0135
momentum_20d,2016-06-06,-0.116245,80,-0.022981,-0.015318,-0.012612,-0.022268,-0.021733,-0.021551,-0.023638,-0.024084,-0.012274,-0.027309,1,-0.004328
momentum_20d,2016-06-07,-0.239616,80,0.011712,0.007505,-0.005361,0.003153,-0.002671,-0.007819,0.009992,-0.004799,-0.001926,-0.009692,1,-0.021405
momentum_20d,2016-06-08,0.003493,80,-0.008417,-0.009472,-0.009928,-0.005423,-0.002764,-0.005733,-0.005201,0.009056,-0.002506,-0.023279,1,-0.014862
momentum_20d,2016-06-09,-0.149367,80,0.010393,-0.000864,-0.004696,-0.001028,-0.005199,0.002405,0.001151,-0.006767,-0.005865,-0.008208,1,-0.0186
momentum_20d,2016-06-10,-0.110033,80,0.0085,0.019266,0.014315,0.016795,0.024582,0.02192,0.021586,0.020916,-0.003216,0.006718,1,-0.001781
momentum_20d,2016-06-13,-0.038865,80,-0.006407,-0.016574,-0.002905,-0.015165,-0.009028,-0.006763,-0.010679,-0.013262,-0.006308,-0.013446,1,-0.00704
momentum_20d,2016-06-14,-0.049648,80,0.001912,0.003111,0.00612,0.009806,0.016136,0.006061,0.001513,0.00125,0.002916,0.003492,1,0.00158
momentum_20d,2016-06-15,-0.190342,80,0.012377,0.015671,0.020219,0.02175,0.008459,0.011251,0.006751,0.016628,0.001606,0.007854,1,-0.004523
momentum_20d,2016-06-16,-0.268636,80,0.012728,0.010267,-0.001546,-0.007214,0.017213,-0.002291,-0.009468,0.005659,-0.005409,-0.006813,1,-0.019541
momentum_20d,2016-06-17,-0.01519,80,0.010044,0.012882,0.00421,0.010515,0.006479,0.007791,0.004268,0.010905,0.010468,0.007105,1,-0.002939
momentum_20d,2016-06-20,-0.178434,80,0.003572,0.003243,-0.007385,0.005067,-0.002167,0.011462,-0.00016,-0.004747,-0.018814,-0.001725,1,-0.005297
momentum_20d,2016-06-21,-0.349672,80,0.005837,0.007507,-0.002416,-0.007666,-0.011775,-0.004138,-0.011067,-0.007656,-0.01762,-0.019871,1,-0.025707
momentum_20d,2016-06-22,-0.027754,80,-0.005537,0.025383,0.012414,0.011859,0.011557,0.024098,0.014494,0.014012,0.015443,-0.003165,1,0.002373
momentum_20d,2016-06-23,-0.126676,80,0.024049,0.008109,0.009261,0.00344,0.015986,0.008266,0.011772,-0.000363,0.001196,0.011285,1,-0.012764
momentum_20d,2016-06-24,-0.138819,80,-0.00038,0.011709,0.019628,0.024224,0.019085,0.022875,0.007928,0.009306,0.003734,0.003879,1,0.004259
momentum_20d,2016-06-27,0.0406,80,0.003652,0.020107,-0.002693,0.00543,-0.005832,0.005087,0.000558,0.008036,0.016183,0.006188,1,0.002536
momentum_20d,2016-06-28,-0.115987,80,0.011064,0.010584,0.016536,0.015543,0.014585,0.012831,0.019579,-0.001646,0.009259,0.009627,1,-0.001437
momentum_20d,2016-06-29,-0.245241,80,-0.001215,0.00328,0.0032,-0.002357,0.00377,0.00744,-0.008763,-0.00571,-0.002103,-0.015913,1,-0.014698
momentum_20d,2016-06-30,-0.054337,80,-0.014148,-0.011149,0.002063,-0.001571,-0.002828,0.000692,-0.007314,-0.014329,-0.011856,-0.007609,1,0.006539
momentum_20d,2016-07-01,-0.131294,80,-0.015979,-0.016603,-0.014246,-0.011286,-0.023595,-0.033368,-0.027104,-0.017851,-0.010181,-0.025764,1,-0.009784
momentum_20d,2016-07-04,-0.17473,80,-0.009824,0.005563,-0.010317,-0.002332,-0.001119,-0.014447,-0.015916,-0.015478,-0.007239,-0.009244,1,0.00058
momentum_20d,2016-07-05,-0.00068,80,0.000821,0.00156,0.019111,0.002686,0.00602,0.006038,0.012131,-0.001188,0.009681,0.006788,1,0.005967
momentum_20d,2016-07-06,-0.282911,80,0.000515,-0.011558,-0.010179,-0.015061,-0.009713,-0.017353,-0.017062,-0.013043,-0.02663,-0.02036,1,-0.020875
momentum_20d,2016-07-07,0.340178,80,-0.014864,-0.010461,-0.005345,-0.014076,0.002579,-0.004805,-0.001568,-0.000215,0.009885,0.00212,1,0.016984
momentum_20d,2016-07-08,-0.234154,80,0.030105,0.022167,0.017879,0.022682,0.014492,0.015212,0.022951,0.008754,0.005452,0.017705,1,-0.012399
momentum_20d,2016-07-11,0.002672,80,0.001747,0.01761,0.00206,0.010612,0.00661,-0.003762,0.006475,0.01068,0.009727,0.002106,1,0.000359
momentum_20d,2016-07-12,-0.027004,80,0.019328,0.017156,0.021955,0.001301,0.016638,0.026423,0.016049,0.023167,0.01957,0.011178,1,-0.008151
momentum_20d,2016-07-13,-0.221777,80,-0.00646,-0.001391,0.001245,-0.003884,-0.008377,-0.006635,-0.012081,-0.013861,-0.003235,-0.019751,1,-0.013292
momentum_20d,2016-07-14,-0.020628,80,-0.021574,-0.01966,-0.022581,-0.01757,-0.017815,-0.024507,-0.033319,-0.023824,-0.020268,-0.016675,1,0.004899
momentum_20d,2016-07-15,-0.042288,80,0.007731,0.016404,0.013938,0.012245,0.011651,0.018926,0.018622,0.019846,0.010436,-0.000475,1,-0.008205
momentum_20d,2016-07-18,0.017698,80,-0.004266,-0.016035,-0.015217,-0.019331,-0.011239,-0.030108,-0.009061,-0.011845,-0.006797,-0.016091,1,-0.011824
momentum_20d,2016-07-19,-0.202297,80,-0.003169,0.004918,0.009404,-0.008917,-0.005321,-0.006646,0.00203,-0.000788,-0.009629,-0.004105,1,-0.000936
momentum_20d,2016-07-20,-0.017768,80,0.000192,0.008643,0.002155,0.004531,0.005966,-0.002987,-0.000622,-0.003405,0.014488,0.000658,1,0.000466
momentum_20d,2016-07-21,-0.10218,80,0.004339,-0.005039,-0.00409,-0.012255,-0.010414,-0.003951,0.001339,-0.005519,-0.01471,-0.007289,1,-0.011627
momentum_20d,2016-07-22,-0.000469,80,0.006137,0.017869,0.00672,0.015103,0.013872,0.014217,0.004221,0.0165,0.018714,0.005073,1,-0.001064
momentum_20d,2016-07-25,-0.112518,80,0.019441,0.025149,0.012612,0.01393,0.006247,0.023716,0.014537,0.009571,0.008156,0.014691,1,-0.00475
momentum_20d,2016-07-26,0.077028,80,0.01015,-0.004757,0.004197,0.010328,0.001163,0.003476,0.002481,0.002398,0.008044,0.009173,1,-0.000977
momentum_20d,2016-07-27,-0.21812,80,0.002369,-0.002124,-0.012247,-0.002292,0.004519,0.003644,0.005131,-0.006638,-0.014898,-0.013858,1,-0.016227
momentum_20d,2016-07-28,-0.142171,80,0.014436,6.5e-05,-0.000916,0.005379,0.007251,-0.002415,-0.011344,0.00674,-0.000847,0.001177,1,-0.013259
momentum_20d,2016-07-29,-0.019198,80,-0.004987,-0.009452,-0.016202,-0.007328,0.003203,0.009497,-0.005279,-0.019467,-0.010684,-0.005342,1,-0.000356
momentum_20d,2016-08-01,-0.118565,80,0.000829,-0.009,0.004111,0.004479,0.001836,0.000685,-0.005313,-0.003887,0.005133,-0.015615,1,-0.016445
momentum_20d,2016-08-02,-0.094843,80,-0.000706,0.006146,-0.006073,0.007461,0.01112,-0.00182,0.000998,-0.002486,-0.007024,-0.002243,1,-0.001537
momentum_20d,2016-08-03,-0.260478,80,0.010183,-0.008078,0.000394,-0.015727,-0.001842,-0.011555,-0.000403,-0.022481,-0.014728,-0.008461,1,-0.018644
momentum_20d,2016-08-04,-0.07316,80,0.007209,0.004352,0.008895,0.003535,0.01746,0.007798,0.013211,0.000544,0.003489,0.005219,1,-0.00199
momentum_20d,2016-08-05,0.015448,80,-0.005404,-0.015241,-0.011303,-0.021122,-0.012653,-0.013955,-0.017436,-0.006893,-0.006584,-0.011893,1,-0.006489
momentum_20d,2016-08-08,-0.088256,80,-0.001516,-0.013585,-0.002986,-0.007602,-0.001137,-0.001181,-0.018328,0.000272,-0.017269,-0.002321,1,-0.000804
momentum_20d,2016-08-09,-0.3109,80,0.002063,-0.015274,-0.02571,-0.009137,-0.022485,-0.01523,-0.021544,-0.015215,-0.035477,-0.021612,1,-0.023676
momentum_20d,2016-08-10,0.171261,80,0.0032,-0.011322,-0.002486,0.006484,-0.001805,0.008455,0.005017,0.012621,0.00704,0.005328,1,0.002128
momentum_20d,2016-08-11,-0.290319,80,0.012146,0.013237,0.009923,0.004752,0.004762,0.017428,0.007773,-0.004027,0.010508,-0.011704,1,-0.02385
momentum_20d,2016-08-12,0.011017,80,0.00529,0.01018,0.003704,0.001893,0.008159,0.012133,0.004659,0.001077,0.008711,0.007392,1,0.002102
momentum_20d,2016-08-15,-0.039076,80,0.032714,0.020477,0.033848,0.026204,0.029938,0.032371,0.030321,0.032679,0.028115,0.023183,1,-0.009531
momentum_20d,2016-08-16,-0.095265,80,0.016839,0.01001,-0.003382,0.007385,0.005301,0.00798,0.008476,0.010122,0.003106,0.003171,1,-0.013668
momentum_20d,2016-08-17,-0.115893,80,-0.002888,-0.003763,-0.010019,-0.002425,-0.005249,-0.007301,-0.009898,-0.014634,-0.006641,-0.005422,1,-0.002534
momentum_20d,2016-08-18,-0.071566,80,0.032631,0.028268,0.015961,0.033182,0.038212,0.028257,0.030451,0.021203,0.034565,0.021141,1,-0.01149
momentum_20d,2016-08-19,-0.121753,80,-0.010036,-0.001225,-0.002464,-0.015087,-0.018084,-0.006434,-0.015347,-0.015448,-0.014909,-0.004282,1,0.005754
momentum_20d,2016-08-22,-0.055368,80,0.011646,0.005836,0.010224,0.011169,0.002194,0.009021,0.005073,0.01731,0.00436,0.000598,1,-0.011048
momentum_20d,2016-08-23,-0.029911,80,0.014696,0.006643,0.007999,0.011465,0.006358,0.005784,0.003305,0.014821,0.003663,0.00876,1,-0.005936
momentum_20d,2016-08-24,-0.165096,80,-0.006449,-0.007839,-0.002399,-0.000625,-0.011914,-0.015158,-0.012765,-0.005089,-0.002789,-0.020051,1,-0.013602
momentum_20d,2016-08-25,0.038748,80,0.011487,0.004543,0.020212,0.011988,0.014566,0.011981,0.015024,0.013047,0.005365,0.019059,1,0.007572
momentum_20d,2016-08-26,-0.090131,80,0.012807,-0.004137,0.00645,0.002267,0.011606,-0.00225,0.003785,0.000874,0.004473,0.006272,1,-0.006535
momentum_20d,2016-08-29,-0.390061,80,0.011952,0.008683,0.009493,0.000583,0.010545,-0.003237,-0.004582,-0.001178,-0.007855,-0.002235,1,-0.014187
momentum_20d,2016-08-30,-0.052649,80,-0.009621,0.008288,-0.000521,-0.011063,-0.006443,0.000371,-0.007855,-0.00396,-0.009318,-0.008594,1,0.001027
momentum_20d,2016-08-31,-0.138959,80,0.014031,0.02273,0.00951,0.015878,0.011146,0.012484,0.020521,0.019066,0.008427,0.00322,1,-0.010811
momentum_20d,2016-09-01,-0.018425,80,-0.008288,-0.001269,-0.007462,-0.011092,-0.013412,-0.017907,-0.005819,-0.008206,-0.007177,-0.009169,1,-0.00088
momentum_20d,2016-09-02,-0.057642,80,-0.023996,-0.004365,-0.008646,-0.019669,-0.008842,-0.021876,-0.010537,-0.00649,-0.008821,-0.027963,1,-0.003966
momentum_20d,2016-09-05,-0.140178,80,0.026294,0.015796,0.012558,0.017057,0.012878,0.017248,0.010447,0.015791,0.014127,0.010017,1,-0.016278
momentum_20d,2016-09-06,-0.054102,80,0.002169,0.002373,-0.007933,-0.002156,-0.008065,-0.001294,0.005751,-0.011961,-0.005253,0.001291,1,-0.000879
momentum_20d,2016-09-07,-0.190624,80,0.006092,-0.002,0.006763,-0.010691,0.006224,0.002053,-0.002638,-0.010681,-0.008622,-0.002803,1,-0.008896
momentum_20d,2016-09-08,0.035724,80,0.027182,0.013526,0.021058,0.008382,0.022221,0.018651,0.03458,0.020172,0.014897,0.024542,1,-0.00264
momentum_20d,2016-09-09,-0.144468,80,0.0131,0.012551,0.01466,0.007064,0.002706,0.009951,0.020208,0.001665,0.008782,0.003827,1,-0.009274
momentum_20d,2016-09-12,0.048945,80,0.008257,0.00863,0.004155,-0.002558,-0.003475,0.012792,0.000122,0.013367,0.004111,0.008825,1,0.000568
momentum_20d,2016-09-13,0.144421,80,0.00963,0.00475,0.007662,0.003427,0.009856,0.002319,0.016317,0.019392,0.019648,0.004007,1,-0.005623
momentum_20d,2016-09-14,-0.196835,80,-0.004103,0.000509,-0.009878,-0.009114,0.003529,-0.009473,-0.005169,-0.015676,-0.002897,-0.024689,1,-0.020586
momentum_20d,2016-09-15,0.022082,80,0.006533,0.007541,0.011113,-0.000886,0.003761,-0.001059,-0.001008,0.010071,0.003965,0.009297,1,0.002764
